,pc1,pc2,pc3,GMM_cluster,K_means_cluster,target
0,-5.695402150401514,4.188784578434573,-3.4631938889874356,0,1,0.0
1,-7.097666696452059,0.42113388151573666,0.5820003452293445,0,1,0.0
2,-6.146249851506246,-0.8218909082566678,1.244917349700893,0,1,0.0
3,3.6569093265995307,-2.3551112376211756,-0.2176938626347169,1,0,1.0
4,7.569105147935375,-1.04086849007293,1.4059351901804946,1,0,0.0
5,-3.5454314576760932,2.7860038481756026,0.7043481815157606,0,1,0.0
6,9.237021635519673,-2.3777654992116757,-1.3827713927349603,1,0,0.0
7,4.506852914285358,3.6633097369888925,-2.230710118556195,1,0,1.0
8,-6.112622871107805,1.409332330643388,-2.0141981140144884,0,1,0.0
9,-7.165676100183701,-2.5372429706608077,-2.336513816148873,0,1,0.0
10,-1.2889868884034696,-0.07538998812841048,2.0495508360467065,1,1,0.0
11,7.875576494478644,-1.2032659817938605,1.0607078948295825,1,0,0.0
12,-6.915384410320845,-0.3282427149641782,-0.0838499048505167,0,1,0.0
13,-0.9732801736187692,-4.074763879738055,-1.338773350170653,1,1,0.0
14,7.116868909877649,-2.955978149019027,-1.0323687188057298,1,0,0.0
15,-6.8825554177841175,0.5899100803408593,1.6745582738464035,0,1,0.0
16,4.279088683527812,4.140839489886807,-4.854080093719942,1,0,0.0
17,-0.9732801736187692,-4.074763879738055,-1.338773350170653,1,1,0.0
18,7.8910786407518225,-0.7437495027660926,1.9456831888539914,1,0,0.0
19,-6.683457001199091,0.30143995393557743,1.892541135991915,0,1,0.0
20,0.08266170270202826,4.360183645261649,-1.4960645001902044,1,1,0.0
21,-3.0047237989879365,-0.11843240711984648,2.1844737186879604,0,1,0.0
22,0.6241673492519001,2.7688178335612124,-5.033462605430304,1,0,0.0
23,-4.761599423771196,1.1717828749924661,1.3334136456710208,0,1,0.0
24,3.933028991008497,4.3342525995869154,-0.4621204195658871,1,0,1.0
25,-3.1540125656441074,4.469280029588223,1.9112777027360774,0,1,0.0
26,-6.525667473165564,-0.24892881833177485,-1.1750469444090543,0,1,0.0
27,6.9762785693900256,0.9516632866005353,0.1618002716831708,1,0,0.0
28,3.2993435543922662,-1.9979156310209383,-0.27077029177932077,1,0,0.0
29,3.4912760591431558,-1.628741616936373,-1.5810923752823962,1,0,1.0
30,3.9148859360896884,3.857977461447072,-1.3819456789460518,1,0,0.0
31,3.2728048704819113,-2.901070092714896,-2.0174133238242806,1,0,1.0
32,-3.957510960093162,2.9247265886652274,-0.5609424163381708,0,1,1.0
33,-1.4725831587153186,0.6725966173046388,2.7165432679256036,1,1,0.0
34,7.369496015540614,-0.7501282098702707,1.1983525555878558,1,0,0.0
35,-6.919560528969409,-1.4494338137801648,0.5259947005169925,0,1,0.0
36,0.6113677241123154,-0.784874482164778,1.2268350664208103,1,0,0.0
37,-4.524474464381412,2.9181163351134547,2.6791596260401978,0,1,0.0
38,-4.445892708986496,-2.8275910166171774,-2.0549105405463393,0,1,0.0
39,-6.28122771095621,2.619105568901582,-0.4518301605583102,0,1,0.0
40,2.671336564651999,-2.0456079112189944,-2.6750111929579536,1,0,0.0
41,-3.979979024645966,-0.45208471589281657,1.2799110718161928,0,1,0.0
42,11.03471666531248,1.274169433012615,-2.1334262663702654,1,0,1.0
43,3.2240458606180242,-2.7094222943834665,-2.4376596852245687,1,0,0.0
44,-6.898057564057297,0.13039360131309183,0.7895829798219942,0,1,0.0
45,8.490416753745837,-1.6182404971714464,2.5580308650790355,1,0,0.0
46,-6.314056703492936,1.7009527735965444,-2.21023833925523,0,1,0.0
47,-3.229724742891391,-1.21337004343404,-2.6839760047015995,0,1,0.0
48,-3.9541510500998576,4.028278865618643,-1.217179396413334,0,1,0.0
49,7.767854679980456,0.46625528193969695,-0.4793815333343335,1,0,0.0
50,0.38675511781013383,-0.29285622395216476,-1.3720851709400543,1,0,0.0
51,3.7027644506073223,1.9103660233161304,-0.3363540565470035,1,0,0.0
52,3.696375294367115,-0.7969008072761657,-1.9844965278562916,1,0,0.0
53,-7.119169661364168,-1.158693533577506,0.31841206592435334,0,1,0.0
54,-3.3498335500863754,4.278639114873533,-1.2054182798019513,0,1,0.0
55,3.506778205416331,-1.1692251379086054,-0.6961170812579872,1,0,0.0
56,-0.7981442829278393,5.195794153377978,0.6281527217038898,1,1,0.0
57,5.148893231231495,-3.6179146126324095,-0.8586376245293671,1,0,0.0
58,2.8956002864142363,-0.742032271013699,-2.1793905412574297,1,0,1.0
59,-3.429456253494615,0.6665962850928028,-0.6116289257126704,0,1,0.0
60,2.9564468408854716,3.985231622748749,-1.4026752135924352,1,0,0.0
61,-3.396339988905907,2.90008967779023,-3.860344161875177,0,1,0.0
