,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,GMM_cluster,K_means_cluster,target
0,-11.194826159963636,4.214171216377598,-4.672810303719928,-5.78045957105935,3.3737745779639936,-5.286364638585506,3.7971258668282317,-0.9139293697241176,2,1,0.0
1,-12.184127201407577,8.584146430755565,-5.921375456515857,-10.519305850644125,6.7888257898525515,-0.9826275989388072,3.4838061597185943,-4.473953863766764,1,1,0.0
2,-7.1449452521904275,5.04624031390925,-2.741607651985577,-5.208509066370252,3.2775359048400072,-3.2540036984600706,3.8647288439680514,-1.3035792004707278,2,1,0.0
3,-12.968252804534545,3.0141838100401164,-5.074019819228218,-6.508052288333344,2.81370663653105,-3.6448948434389052,3.7742509163084903,-0.16282336389585458,2,1,0.0
4,-6.4468990405049675,4.395624609922793,-2.9450083972046697,-4.0165801380943975,2.929262023031588,-4.24959668642741,2.9997986568748116,-1.3555214289745598,2,1,0.0
5,-8.65892666484092,6.540954119912364,-4.804947462636768,-8.410881861574413,4.5751510796932005,0.5891752743727456,1.5055302194604836,-4.440775165978321,3,1,0.0
6,2.4433367271600694,4.257361864585619,-0.20379212931786078,-2.697023922838773,2.580952578819212,3.7953751843660366,-0.6532378594498772,-3.447834510970077,2,0,0.0
7,-1.4541886955676346,3.8681597760737767,-1.5286539638674044,-5.442868241895498,2.6841668641080583,6.981507621746941,-0.2610953618362284,-3.1070428275867816,2,0,0.0
8,-6.111201507843609,4.455413679528008,-2.3481600256368966,-4.290335804100503,2.969123763422003,-3.5447196613933114,3.337337096599379,-1.2037565984294776,2,1,0.0
9,-8.139530070971126,2.287810395108485,-2.8924682843388823,-4.039822349156096,2.231605248930957,-3.5028604303152457,2.680960857809872,-0.23444886655317287,2,1,0.0
10,-7.1612882079819045,4.681090663241688,-3.615542900067344,-5.838239560309461,2.9504728823488993,-1.5311949683838466,1.819778166646588,-2.758193998938907,3,1,1.0
11,-13.51169496914753,6.904932431002722,-5.612768407957477,-9.267999722809833,5.300265262029552,-3.3497737296556207,4.834310056031009,-2.3199089974869715,2,1,0.0
12,-5.5747723824420445,1.7132088964920607,-2.0545657146733936,-3.735644152415649,1.8851543293273767,-0.1259371485250952,1.2866747527510096,-0.7023240100641708,2,1,0.0
13,-4.050561850741784,2.207139729712763,-2.067585040121939,-3.91200100822467,1.700550491365584,4.031955007944865,1.4274724597915311,-1.4372534521198468,4,0,1.0
14,-3.0588194803576116,3.7441878534555424,-1.3108784246174041,-3.4150661714631676,1.6262207140974057,-0.8254723785982537,2.7663234949136655,-1.1487535827535735,4,0,0.0
15,1.5127412877714326,5.457716673872942,-0.729425840933397,-3.5677984567857624,3.3235995848606192,3.0865018230532617,-0.08060890909946694,-3.952136128330691,2,0,0.0
