,pc1,GMM_cluster,K_means_cluster,target
0,-0.25731080487859415,1,0,0
1,-1.9874486060202516,1,0,0
2,0.2352037164178649,1,1,0
3,-0.27836130006195126,1,0,0
4,-1.4306111706127127,1,0,0
5,2.7084471957700895,0,1,1
6,-0.15438485760449086,1,0,0
7,-1.3803437344643306,1,0,0
8,-0.7702944088182507,1,0,0
9,-1.2670915650261374,1,0,0
10,-0.6931234786295574,1,0,0
11,3.1448668592014606,0,1,1
12,-0.7490313132042278,1,0,0
13,0.9484489573385226,0,1,1
14,0.4620766557723553,0,1,1
15,-1.1344005644617827,1,0,1
16,-1.0407244180927235,1,0,0
17,-0.20621778395166382,1,0,0
18,0.38733254290340324,0,1,0
19,-0.64047513464745,1,0,0
20,-1.0672075741714662,1,0,0
21,0.8871634202033108,0,1,1
22,1.8858066899419899,0,1,1
23,-1.9508665565857664,1,0,0
24,1.1475181351747048,0,1,0
25,1.1694216562798287,0,1,0
26,0.6020883225588295,0,1,1
27,-1.4439880710992687,1,0,0
28,1.475819884089095,0,1,1
29,-1.464116850783528,1,0,0
30,1.2115753855542513,0,1,0
31,-0.8950742054379399,1,0,0
32,-0.7898636203047124,1,0,0
33,0.014990802521009698,1,0,1
34,3.0601444269437144,0,1,1
35,-0.011834785741293367,1,0,0
36,-0.40522558034367295,1,0,0
37,-1.1998260706880104,1,0,0
38,-1.6607316723461225,1,0,0
39,-0.5120795018059928,1,0,0
40,-0.38952666439595385,1,0,0
41,-1.275838278247961,1,0,0
42,4.444661504383996,0,1,1
43,4.5461137193438175,0,1,1
44,0.1916777793777673,1,0,0
45,1.5892575102443163,0,1,1
46,0.8242597234546285,0,1,0
47,0.1645571539285491,1,0,0
48,0.7701818214088231,0,1,1
49,-1.874832309333345,1,0,0
50,-1.1402843369053628,1,0,0
51,0.0967566288140006,1,0,0
52,1.689924025657071,0,1,1
53,3.5500431482102863,0,1,1
54,0.2877449125137708,0,1,0
55,0.25064130160728815,0,1,0
56,2.1271013623582817,0,1,1
57,2.2380166297888713,0,1,1
58,1.9736046023990494,0,1,1
59,-1.4984006204602098,1,0,0
60,-1.2876964915893987,1,0,0
61,4.423982046063619,0,1,1
62,-0.5031297095955428,1,0,0
63,-0.7865880120884506,1,0,0
64,1.5124288009175257,0,1,0
65,0.5394316069542929,0,1,1
66,0.19904017518081799,1,0,0
67,-1.3721479282596818,1,0,0
68,-1.0222588711761365,1,0,1
69,0.9105832420130886,0,1,1
70,1.053903513796111,0,1,1
71,1.5780878976404182,0,1,0
72,-0.23777863711902794,1,0,0
73,-0.7757305151517316,1,0,0
74,0.46064790356903557,0,1,0
75,1.3989553786133666,0,1,1
76,-1.3614372722744938,1,0,0
77,-1.2789383055210595,1,0,0
78,1.555158339404766,0,1,1
79,-1.031162937395641,1,0,0
80,-1.427346434855039,1,0,1
81,0.6781155042731303,0,1,1
82,-1.2864888596563144,1,0,0
83,-0.888790480363033,1,0,0
84,-0.9436826102777671,1,0,0
85,2.0056732614773867,0,1,1
86,0.7438717303194747,0,1,1
87,-0.9289004582834322,1,0,0
88,0.503660523859872,0,1,0
89,-0.05054678057065447,1,0,0
90,-1.265722033662636,1,0,0
91,-1.3207964494509223,1,0,0
92,0.5783863302931075,0,1,0
93,-1.6427348821799486,1,0,0
94,0.44821502584327483,0,1,1
95,-1.7689424809643228,1,0,0
96,-1.2655405035086351,1,0,0
97,1.596488449151268,0,1,1
98,0.39979601066867865,0,1,0
99,-1.6922374572155165,1,0,0
100,0.3984719174589211,0,1,1
101,-0.37996830164702855,1,0,0
102,1.0522112936301797,0,1,1
103,-0.38001973073202466,1,0,1
104,-1.6716166029454007,1,0,0
105,0.45167301032157386,0,1,1
106,-2.350268844801933,1,0,0
107,0.26709253722677523,0,1,1
108,1.6827704814893711,0,1,1
109,-1.6575705653481667,1,0,0
110,0.8560044022555466,0,1,0
111,-1.1080833631537714,1,0,0
112,-1.1209186673588198,1,0,0
113,-0.7687648280497582,1,0,0
114,-1.1207134639890686,1,0,0
115,1.2809625545779944,0,1,0
116,-1.4689293504853074,1,0,0
117,1.57202705474421,0,1,1
118,-2.0173523534891675,1,0,0
119,-1.6886432930517823,1,0,0
120,-0.6511522347096479,1,0,0
121,1.0843068496779156,0,1,0
122,0.7822120876918697,0,1,1
123,-0.12918145537802161,1,0,0
124,0.7619655516639713,0,1,1
125,0.8440038886398176,0,1,1
126,-1.110760537228316,1,0,0
127,0.7128049196872985,0,1,0
128,-0.9757680931475707,1,0,0
129,1.464776274647054,0,1,1
130,-1.5286950499371676,1,0,0
131,-0.35138556482594896,1,0,0
132,-0.1672438909385984,1,0,0
133,0.16082609799799558,1,0,0
134,-0.9040930521528519,1,0,0
135,2.250374405712479,0,1,1
136,-1.233488444890679,1,0,0
137,-1.0832839512419685,1,0,0
138,0.19427787292145102,1,0,0
139,1.8381327038379907,0,1,1
140,-0.8242333485980962,1,0,0
141,-1.2146389073320547,1,0,0
142,0.7852386297698055,0,1,0
143,1.6347581357473824,0,1,1
144,0.03298926047903052,1,0,0
145,-1.8790475371758428,1,0,0
146,-0.5953793738656764,1,0,0
147,1.1602743997152642,0,1,1
148,3.8082877807155393,0,1,1
149,-0.696614112667618,1,0,0
150,0.9518914641116378,0,1,0
151,-0.33059202861477655,1,0,0
152,-1.458378858724856,1,0,0
153,-0.8570355554443118,1,0,0
154,-1.0958409003159784,1,0,0
155,0.34074383611369136,0,1,0
156,1.098016899545577,0,1,1
157,-0.8680156057185724,1,0,0
158,2.8204133593321337,0,1,1
159,0.6778776826315221,0,1,0
160,-0.8237295567083684,1,0,0
161,0.964446066784131,0,1,0
162,-0.7612046434707942,1,0,0
163,2.1506511563463904,0,1,1
164,-1.5380718189999767,1,0,0
165,-0.5203699227367192,1,0,0
166,-1.3986138260459855,1,0,0
167,0.15770138704618683,1,0,0
168,0.62805498109994,0,1,0
169,0.6299395804122514,0,1,0
170,2.404308108532961,0,1,1
171,0.8929878865105982,0,1,1
172,-0.137531101174954,1,0,0
173,-1.3215611839561139,1,0,0
174,0.9785634722812045,0,1,0
175,0.980960640354774,0,1,1
176,-0.9932687305941477,1,0,0
177,2.615391622175489,0,1,1
178,-1.8507229684233664,1,0,0
179,0.3459887312696854,0,1,0
180,2.961756453392989,0,1,1
181,-1.0346918657531825,1,0,0
182,0.026233585467600636,1,0,0
183,0.1193242460553469,1,0,0
184,-1.156739928627737,1,0,0
185,-1.4898884780693655,1,0,0
186,-1.4005767038546983,1,0,0
187,-0.35218963870736403,1,0,0
188,-0.35572581335320397,1,0,0
189,0.12072243265140063,1,0,0
190,0.011851782695295514,1,0,1
191,0.7901447899515918,0,1,0
192,-0.7860584812072956,1,0,0
193,-1.8403602630147202,1,0,0
194,0.4096249908357304,0,1,1
195,0.3834314472437621,0,1,0
196,0.6588839966013273,0,1,0
197,-1.3560092128087575,1,0,0
198,0.22537964266237906,1,1,0
199,-1.1299337313631104,1,0,0
200,-0.8042543556059407,1,0,0
201,-1.2085882569106887,1,0,0
202,0.5116585646625078,0,1,0
203,-0.7920608383714673,1,0,0
204,1.242751705812794,0,1,1
205,1.7179432821448593,0,1,1
206,0.8471349264822512,0,1,0
207,2.8745685346743493,0,1,1
208,-0.5859229116924791,1,0,0
209,2.5743027432406147,0,1,1
210,-1.1138887645689775,1,0,0
211,-0.5814542405494252,1,0,0
212,0.2654585223526489,0,1,0
213,-0.8648497115660275,1,0,0
214,-2.232178401732774,1,0,0
215,-0.9998679283148512,1,0,0
216,-0.2701399297379005,1,0,0
217,0.5390017163067584,0,1,1
218,1.5262182473641934,0,1,1
219,2.2818587115924522,0,1,1
220,0.44672485870741424,0,1,0
221,-0.003943293913829742,1,0,0
222,2.2271680619891416,0,1,1
223,-0.4629524304078795,1,0,0
224,2.1980933952872572,0,1,0
225,-1.0130578058193505,1,0,1
226,-0.8223242699237296,1,0,0
227,0.9684836845262323,0,1,0
228,-1.4300239982055334,1,0,0
229,-1.415501629098328,1,0,0
230,-1.4195481349997063,1,0,0
231,-1.9014750061907308,1,0,0
232,5.401749323803817,0,1,1
233,0.2851451949493157,0,1,0
234,0.5742733437823847,0,1,0
235,-1.3659779371762255,1,0,1
236,-0.41973743282846376,1,0,0
237,3.0182203386394297,0,1,1
238,0.3586247029706973,0,1,1
239,-0.6317686803990482,1,0,0
240,-0.3589328856881866,1,0,0
241,-1.139138339555067,1,0,0
242,1.2829435942212177,0,1,0
243,2.148692981469119,0,1,0
244,-0.10129425708824881,1,0,0
245,0.16221235623528016,1,0,1
246,-1.4814444317121522,1,0,0
247,-1.8024709841834825,1,0,0
248,1.2181576606568014,0,1,1
249,-0.48463151750938743,1,0,0
250,0.47779274495332696,0,1,0
251,-0.41448898432366216,1,0,0
252,-0.22512063392436518,1,0,0
253,0.03875436794034547,1,0,0
254,0.2078071996272907,1,0,1
255,-1.5642388954471198,1,0,0
256,-0.4681290939460003,1,0,0
257,0.2198715402220899,1,0,0
258,0.10344531611934364,1,0,0
259,-0.11863370847572739,1,0,0
260,-0.7022899032500981,1,0,1
261,1.309803505081399,0,1,1
262,-1.3549761304791827,1,0,0
263,0.331146546648427,0,1,0
264,0.08546880957829969,1,0,0
265,-0.9334898143678838,1,0,0
266,-1.2057841105968081,1,0,0
267,-0.9513600481890483,1,0,0
268,0.393227121522962,0,1,0
269,-0.5062121937133596,1,0,0
270,-1.1471768302130918,1,0,0
271,2.3479493939640017,0,1,0
272,0.37982131091305554,0,1,0
273,-0.8707869522806487,1,0,0
274,0.34704149166176157,0,1,0
275,-0.35548974318438886,1,0,0
276,-0.24942629249904866,1,0,0
277,1.2511224720165959,0,1,1
278,-1.0612689890837887,1,0,0
279,0.5119531994990657,0,1,0
280,-0.20779739185606202,1,0,0
281,-1.3640840128130935,1,0,0
282,2.298206044162166,0,1,1
283,-1.5311748866248112,1,0,0
284,-2.4379644008917016,1,0,0
285,0.0008497622674783137,1,0,1
286,-1.1416388027928068,1,0,0
287,-1.2553308113590758,1,0,0
288,3.036229447205448,0,1,1
289,0.710367032414977,0,1,0
290,-0.27752182451273966,1,0,0
291,1.2293718556356632,0,1,1
292,-1.5161276592518915,1,0,0
293,1.4342614345514217,0,1,1
294,1.1450087481611204,0,1,1
295,-0.7598641624265844,1,0,0
296,-1.2049816206203239,1,0,1
297,0.8753153629121561,0,1,1
298,0.3452945740867759,0,1,0
299,-1.0001441533270155,1,0,0
300,0.42118850049871115,0,1,0
301,-0.33738792972106235,1,0,0
302,-0.6829413982144754,1,0,0
303,-1.4157502282419239,1,0,0
304,-0.5262935688377738,1,0,0
305,2.0412878410538737,0,1,1
306,0.3573823214648399,0,1,1
307,-1.4228777972423183,1,0,0
308,3.1311426436506564,0,1,1
309,-0.42835712246081226,1,0,0
310,-0.23674212977551615,1,0,0
311,0.8452020778331457,0,1,1
312,-1.0529583487794032,1,0,0
313,1.6159020303589777,0,1,0
314,-1.4578747534354135,1,0,0
315,-1.1939394401589825,1,0,0
316,1.4450151583510127,0,1,0
317,-0.7517981694441936,1,0,0
318,0.10188458549351885,1,0,0
319,1.6374293234924293,0,1,1
320,-0.014554081183042931,1,0,0
321,-0.6322323798702246,1,0,0
322,-1.8102340963286288,1,0,0
323,1.0506737577017942,0,1,0
324,-1.415821598561508,1,0,0
325,2.776322501937233,0,1,0
326,-0.8660450516959665,1,0,0
327,0.9779077736323266,0,1,0
328,-0.13120095513289837,1,0,1
329,-0.2110649345267469,1,0,0
330,-1.4814444317121522,1,0,0
331,-1.2952493055382899,1,0,0
332,-0.43429755830041966,1,0,0
333,0.04378123784520393,1,0,1
334,0.27961059926432547,0,1,1
335,0.005125366880874948,1,0,0
336,0.40509023258040294,0,1,0
337,-0.36237841631523193,1,0,0
338,-1.2866065462720404,1,0,0
339,-0.5571369113763284,1,0,0
340,0.3917868544617116,0,1,0
341,-1.405915978851543,1,0,0
342,1.215479408676953,0,1,0
343,-0.24792146570155923,1,0,0
344,4.0545388664811055,0,1,1
345,0.4809444965600399,0,1,0
346,-0.8581685000897525,1,0,0
347,1.1147635015452042,0,1,1
348,-0.23519712065425366,1,0,0
349,-0.4279636440909624,1,0,0
350,-0.674520386457899,1,0,0
351,-1.2412751735138448,1,0,0
352,-0.951101921886657,1,0,0
353,-0.9003634315459688,1,0,0
354,-0.6906942827049151,1,0,0
355,-0.4366849661636722,1,0,1
356,-1.120150060148255,1,0,0
357,0.4568220346499902,0,1,1
358,-0.3570949366812683,1,0,0
359,-0.40906587465420224,1,0,0
360,3.59096922927453,0,1,1
361,0.8440038886398176,0,1,0
362,2.431330487290688,0,1,1
363,2.5001213960543667,0,1,1
364,-1.234625739978919,1,0,0
365,-0.8792746262655172,1,0,0
366,1.7547992703973425,0,1,1
367,-0.9430572130575006,1,0,0
368,-1.6307971728180122,1,0,0
369,-1.059706464774905,1,0,0
370,1.1009355907362248,0,1,0
371,2.8289058685565918,0,1,1
